census_year,clue_small_area,clue_industry,total_establishments
2023,Kensington,Real Estate Services,5
2023,Melbourne (CBD),Agriculture and Mining,1
2023,Melbourne (CBD),Agriculture and Mining,2
2023,Melbourne (CBD),"Electricity, Gas, Water",14
2023,Melbourne (CBD),Finance and Insurance,177
2023,Melbourne (CBD),Health Care and Social Assistance,54
2023,Melbourne (CBD),Agriculture and Mining,8
2023,Melbourne (CBD),Agriculture and Mining,16
2023,Melbourne (CBD),Other Services,52
2023,Melbourne (CBD),Business Services,928
2023,Melbourne (CBD),Public Administration and Safety,78
2023,Melbourne (CBD),Retail Trade,4
2023,Melbourne (CBD),"Transport, Postal and Storage",40
2023,Melbourne (Remainder),Food Catering Services,1
2023,Melbourne (Remainder),Construction,1
2023,Melbourne (Remainder),Education and Training,4
2023,Melbourne (Remainder),Education and Training,3
2023,Melbourne (Remainder),Other Services,1
2023,Melbourne (Remainder),Public Administration and Safety,1
2023,Melbourne (Remainder),Public Administration and Safety,2
2023,North Melbourne,Food Catering Services,6
2023,North Melbourne,Admin and Support Services,20
2023,North Melbourne,Education and Training,1
2023,North Melbourne,"Electricity, Gas, Water",24
2023,North Melbourne,"Transport, Postal and Storage",1
2023,Parkville,Food and Beverage Services,9
2023,Parkville,Food Catering Services,7
2023,Parkville,Education and Training,10
2023,Parkville,Other Services,6
2023,Parkville,Public Administration and Safety,1
2023,Port Melbourne,Food and Beverage Services,3
2023,Port Melbourne,Admin and Support Services,5
2023,Port Melbourne,Arts and Recreation Services,5
2023,Port Melbourne,Construction,45
2023,Port Melbourne,"Electricity, Gas, Water",6
2023,Port Melbourne,"Electricity, Gas, Water",4
2023,Port Melbourne,Information Media,2
2023,Port Melbourne,Manufacturing,4
2023,Port Melbourne,Other Services,15
2023,Port Melbourne,Public Administration and Safety,2
2023,Port Melbourne,Public Administration and Safety,8
2023,Port Melbourne,"Transport, Postal and Storage",19
2023,South Yarra,Health Care and Social Assistance,1
2023,Southbank,Education and Training,8
2023,Southbank,Education and Training,5
2023,Southbank,"Electricity, Gas, Water",4
2023,Southbank,Health Care and Social Assistance,8
2023,Southbank,Business Services,41
2023,West Melbourne (Industrial),Arts and Recreation Services,1
2023,West Melbourne (Industrial),Information Media,3
2023,West Melbourne (Industrial),Retail Trade,5
2023,West Melbourne (Industrial),"Transport, Postal and Storage",18
2023,West Melbourne (Residential),Food and Beverage Services,56
2023,West Melbourne (Residential),Admin and Support Services,1
2023,West Melbourne (Residential),"Electricity, Gas, Water",8
2023,West Melbourne (Residential),Manufacturing,11
2023,West Melbourne (Residential),Public Administration and Safety,1
2022,Carlton,Business Services,1
2022,Docklands,Finance and Insurance,25
2022,Docklands,Business Services,1
2022,Docklands,"Transport, Postal and Storage",16
2022,Docklands,Wholesale Trade,1
2022,Docklands,Wholesale Trade,12
2022,East Melbourne,Food and Beverage Services,33
2022,East Melbourne,Admin and Support Services,3
2022,East Melbourne,Construction,3
2022,East Melbourne,Health Care and Social Assistance,176
2022,East Melbourne,Other Services,8
2022,East Melbourne,"Transport, Postal and Storage",3
2022,East Melbourne,Wholesale Trade,2
2022,Kensington,Arts and Recreation Services,13
2022,Kensington,Public Administration and Safety,2
2022,Melbourne (CBD),Food Catering Services,7
2022,Melbourne (CBD),Food and Beverage Services,23
2022,Melbourne (CBD),Admin and Support Services,175
2022,Melbourne (CBD),Education and Training,5
2022,Melbourne (CBD),Finance and Insurance,376
2022,Melbourne (CBD),Business Services,928
2022,Melbourne (CBD),Retail Trade,1015
2022,Melbourne (CBD),Wholesale Trade,5
2022,Melbourne (Remainder),Admin and Support Services,1
2022,Melbourne (Remainder),Construction,6
2022,Melbourne (Remainder),Health Care and Social Assistance,2
2022,Melbourne (Remainder),Health Care and Social Assistance,2
2022,Melbourne (Remainder),Other Services,1
2022,Melbourne (Remainder),Retail Trade,14
2022,Melbourne (Remainder),"Transport, Postal and Storage",2
2022,Port Melbourne,Manufacturing,5
2022,Port Melbourne,Public Administration and Safety,9
2022,South Yarra,Public Administration and Safety,1
2022,Southbank,Arts and Recreation Services,6
2022,Southbank,Construction,11
2022,Southbank,Education and Training,5
2022,Southbank,Public Administration and Safety,6
2021,North Melbourne,Construction,7
2021,North Melbourne,Health Care and Social Assistance,73
2021,North Melbourne,Public Administration and Safety,4
2021,North Melbourne,"Transport, Postal and Storage",14
2021,Parkville,Food Catering Services,7
2021,Parkville,Health Care and Social Assistance,17
2021,Parkville,Business Services,9
2021,Parkville,Real Estate Services,1
2021,Port Melbourne,Agriculture and Mining,1
2021,Port Melbourne,Construction,42
2021,Port Melbourne,"Electricity, Gas, Water",6
2021,West Melbourne (Residential),Business Services,12
2021,West Melbourne (Residential),Public Administration and Safety,3
2020,Carlton,Arts and Recreation Services,1
2020,Carlton,Construction,1
2020,Carlton,Health Care and Social Assistance,4
2020,Carlton,Information Media,1
2020,Carlton,Other Services,85
2020,Carlton,Retail Trade,101
2019,North Melbourne,Finance and Insurance,3
2019,North Melbourne,Other Services,119
2019,Parkville,Food and Beverage Services,8
2019,Parkville,Education and Training,3
2019,Parkville,"Electricity, Gas, Water",5
2019,Port Melbourne,Construction,4
2019,Port Melbourne,Real Estate Services,7
2019,Port Melbourne,Retail Trade,7
2019,South Yarra,Public Administration and Safety,1
2019,Southbank,Food and Beverage Services,150
2019,Southbank,Agriculture and Mining,1
2019,Southbank,Construction,17
2019,Southbank,Retail Trade,1
2019,Southbank,Retail Trade,213
2019,West Melbourne (Industrial),Arts and Recreation Services,3
2019,West Melbourne (Industrial),Construction,6
2019,West Melbourne (Residential),Arts and Recreation Services,5
2019,West Melbourne (Residential),Finance and Insurance,9
2019,West Melbourne (Residential),Health Care and Social Assistance,4
2019,West Melbourne (Residential),Information Media,5
2019,West Melbourne (Residential),Other Services,4
2019,West Melbourne (Residential),Other Services,44
2019,West Melbourne (Residential),Public Administration and Safety,2
2019,West Melbourne (Residential),"Transport, Postal and Storage",15
2019,West Melbourne (Residential),Wholesale Trade,22
2018,Carlton,Admin and Support Services,3
2018,Carlton,Admin and Support Services,2
2018,Carlton,Health Care and Social Assistance,22
2018,Carlton,Business Services,21
2018,East Melbourne,Health Care and Social Assistance,204
2018,East Melbourne,Public Administration and Safety,6
2018,Kensington,Food and Beverage Services,3
2018,Kensington,Construction,25
2018,Kensington,"Electricity, Gas, Water",11
2018,Melbourne (CBD),Real Estate Services,196
2018,Melbourne (CBD),"Transport, Postal and Storage",22
2018,Melbourne (Remainder),Food and Beverage Services,39
2018,Melbourne (Remainder),Arts and Recreation Services,12
2018,North Melbourne,Education and Training,1
2018,North Melbourne,Manufacturing,2
2018,North Melbourne,"Transport, Postal and Storage",16
2018,North Melbourne,Wholesale Trade,4
2018,Parkville,Information Media,1
2018,Parkville,Retail Trade,22
2018,Parkville,Wholesale Trade,1
2012,Port Melbourne,Other Services,3
2012,Southbank,Arts and Recreation Services,15
2012,Southbank,Information Media,2
2012,Southbank,Information Media,13
2012,Southbank,Other Services,29
2012,Southbank,"Transport, Postal and Storage",1
2012,Southbank,"Transport, Postal and Storage",1
2012,Southbank,Wholesale Trade,2
2012,West Melbourne (Industrial),Information Media,1
2012,West Melbourne (Industrial),Information Media,3
2012,West Melbourne (Industrial),"Transport, Postal and Storage",18
2012,West Melbourne (Residential),Food and Beverage Services,54
2012,West Melbourne (Residential),Admin and Support Services,11
2012,West Melbourne (Residential),Other Services,3
2012,West Melbourne (Residential),Rental and Hiring Services,2
2012,West Melbourne (Residential),"Transport, Postal and Storage",1
2012,West Melbourne (Residential),Wholesale Trade,31
2011,Carlton,Arts and Recreation Services,14
2011,Carlton,Wholesale Trade,3
2011,Docklands,Food Catering Services,4
2011,Docklands,Finance and Insurance,5
2011,Kensington,Construction,1
2011,Kensington,Education and Training,1
2011,Kensington,Health Care and Social Assistance,7
2011,Kensington,Business Services,27
2011,Kensington,Retail Trade,38
2011,Melbourne (CBD),Admin and Support Services,421
2011,Melbourne (CBD),Information Media,130
2011,Melbourne (CBD),Agriculture and Mining,39
2011,Melbourne (CBD),Business Services,52
2011,Melbourne (Remainder),Manufacturing,9
2011,North Melbourne,Admin and Support Services,6
2011,North Melbourne,"Electricity, Gas, Water",22
2011,North Melbourne,Information Media,29
2011,North Melbourne,Retail Trade,4
2011,North Melbourne,Wholesale Trade,3
2011,Parkville,Food Catering Services,5
2011,Parkville,Arts and Recreation Services,1
2011,Parkville,Finance and Insurance,6
2011,Parkville,Health Care and Social Assistance,72
2011,Parkville,Manufacturing,3
2011,Port Melbourne,Food Catering Services,1
2011,Port Melbourne,Health Care and Social Assistance,1
2011,Southbank,Finance and Insurance,11
2011,Southbank,Other Services,19
2011,Southbank,Business Services,1
2011,West Melbourne (Industrial),Food and Beverage Services,7
2011,West Melbourne (Industrial),Information Media,1
2011,West Melbourne (Industrial),Other Services,5
2011,West Melbourne (Residential),Education and Training,10
2011,West Melbourne (Residential),Other Services,5
2011,West Melbourne (Residential),Retail Trade,1
2011,West Melbourne (Residential),Wholesale Trade,39
2010,Carlton,Construction,4
2010,Carlton,Health Care and Social Assistance,1
2010,Carlton,Health Care and Social Assistance,14
2010,Carlton,Health Care and Social Assistance,84
2010,Carlton,Real Estate Services,13
2010,Docklands,Food and Beverage Services,2
2010,Docklands,Food Catering Services,4
2010,Docklands,Admin and Support Services,7
2010,Docklands,Admin and Support Services,21
2010,Docklands,Arts and Recreation Services,1
2010,Docklands,"Electricity, Gas, Water",9
2010,Docklands,Finance and Insurance,20
2010,Docklands,Information Media,5
2010,Docklands,Other Services,38
2010,Docklands,Business Services,3
2010,Docklands,Business Services,82
2010,Docklands,Real Estate Services,3
2010,East Melbourne,Food Catering Services,17
2010,East Melbourne,Information Media,1
2010,East Melbourne,Manufacturing,1
2010,East Melbourne,Other Services,9
2010,East Melbourne,Other Services,5
2010,East Melbourne,Business Services,1
2010,East Melbourne,Business Services,62
2010,East Melbourne,Public Administration and Safety,3
2010,East Melbourne,Retail Trade,18
2010,Kensington,Admin and Support Services,1
2010,Kensington,Construction,13
2010,Kensington,Education and Training,3
2010,Kensington,Health Care and Social Assistance,14
2010,Kensington,Other Services,1
2010,Melbourne (CBD),Food and Beverage Services,4
2010,Melbourne (CBD),Food Catering Services,60
2010,Melbourne (CBD),Arts and Recreation Services,24
2010,Melbourne (CBD),Construction,61
2010,Melbourne (CBD),Education and Training,9
2010,Melbourne (CBD),"Electricity, Gas, Water",11
2010,Melbourne (CBD),Finance and Insurance,507
2010,Melbourne (CBD),Public Administration and Safety,85
2010,Melbourne (CBD),Public Administration and Safety,1
2010,Melbourne (CBD),Retail Trade,11
2010,Melbourne (CBD),"Transport, Postal and Storage",6
2010,Melbourne (CBD),Wholesale Trade,109
2010,Melbourne (Remainder),Admin and Support Services,18
2010,Melbourne (Remainder),Arts and Recreation Services,10
2010,Melbourne (Remainder),Construction,5
2010,Melbourne (Remainder),"Electricity, Gas, Water",3
2010,Melbourne (Remainder),Information Media,6
2010,Melbourne (Remainder),Public Administration and Safety,3
2010,Melbourne (Remainder),"Transport, Postal and Storage",1
2010,North Melbourne,Food and Beverage Services,3
2010,North Melbourne,Admin and Support Services,6
2010,North Melbourne,Education and Training,1
2010,North Melbourne,Information Media,3
2010,North Melbourne,Business Services,15
2010,North Melbourne,Business Services,2
2010,North Melbourne,Real Estate Services,8
2010,North Melbourne,Wholesale Trade,68
2010,Parkville,Agriculture and Mining,1
2010,Parkville,Arts and Recreation Services,23
2010,Parkville,Health Care and Social Assistance,6
2010,Parkville,Retail Trade,23
2010,Parkville,"Transport, Postal and Storage",4
2010,Port Melbourne,Arts and Recreation Services,5
2010,Port Melbourne,Retail Trade,3
2010,South Yarra,Food and Beverage Services,1
2010,South Yarra,Education and Training,2
2010,South Yarra,"Electricity, Gas, Water",5
2010,Southbank,Construction,11
2010,Southbank,Other Services,41
2010,West Melbourne (Industrial),Food and Beverage Services,1
2010,West Melbourne (Industrial),Information Media,2
2010,West Melbourne (Industrial),Manufacturing,4
2010,West Melbourne (Industrial),Retail Trade,8
2010,West Melbourne (Industrial),"Transport, Postal and Storage",4
2010,West Melbourne (Industrial),"Transport, Postal and Storage",26
2010,West Melbourne (Industrial),Wholesale Trade,48
2010,West Melbourne (Residential),"Electricity, Gas, Water",2
2010,West Melbourne (Residential),Health Care and Social Assistance,4
2010,West Melbourne (Residential),Other Services,5
2010,West Melbourne (Residential),Wholesale Trade,3
2009,Carlton,Business Services,2
2009,Carlton,Business Services,12
2009,Carlton,Public Administration and Safety,12
2009,Carlton,Retail Trade,5
2009,Docklands,Food and Beverage Services,11
2009,Docklands,Arts and Recreation Services,18
2009,Docklands,Finance and Insurance,20
2009,Docklands,Information Media,1
2009,Docklands,Other Services,2
2009,Docklands,Other Services,14
2009,Docklands,Other Services,38
2009,Docklands,Real Estate Services,3
2009,Docklands,"Transport, Postal and Storage",4
2009,East Melbourne,Education and Training,1
2009,East Melbourne,Education and Training,8
2009,East Melbourne,Information Media,6
2009,East Melbourne,Other Services,5
2009,Kensington,Food Catering Services,1
2009,Kensington,Food and Beverage Services,24
2009,Kensington,Information Media,2
2009,Melbourne (CBD),Food and Beverage Services,6
2009,Melbourne (CBD),Food Catering Services,63
2009,Melbourne (CBD),Food and Beverage Services,1121
2009,Melbourne (CBD),Construction,2
2009,Melbourne (CBD),Health Care and Social Assistance,357
2009,Melbourne (CBD),Other Services,39
2009,Melbourne (CBD),Business Services,12
2009,Melbourne (CBD),Public Administration and Safety,82
2009,Melbourne (CBD),Real Estate Services,4
2009,Melbourne (Remainder),Agriculture and Mining,1
2009,Melbourne (Remainder),Arts and Recreation Services,4
2009,Melbourne (Remainder),Arts and Recreation Services,22
2009,Melbourne (Remainder),Construction,2
2009,North Melbourne,Food and Beverage Services,3
2009,North Melbourne,Food Catering Services,4
2009,North Melbourne,Food and Beverage Services,3
2009,North Melbourne,Construction,32
2009,North Melbourne,Health Care and Social Assistance,5
2009,North Melbourne,Manufacturing,8
2009,North Melbourne,Other Services,128
2009,North Melbourne,Public Administration and Safety,4
2009,North Melbourne,Rental and Hiring Services,13
2009,Parkville,Admin and Support Services,2
2009,Parkville,Manufacturing,1
2009,Parkville,Business Services,1
2009,Parkville,Public Administration and Safety,2
2009,Port Melbourne,Admin and Support Services,2
2009,Port Melbourne,Information Media,1
2009,Port Melbourne,Business Services,43
2009,South Yarra,Food and Beverage Services,1
2009,South Yarra,Arts and Recreation Services,5
2009,South Yarra,Other Services,10
2009,Southbank,Food Catering Services,2
2009,Southbank,Agriculture and Mining,2
2009,Southbank,Finance and Insurance,8
2009,Southbank,Information Media,8
2009,Southbank,Rental and Hiring Services,1
2009,West Melbourne (Industrial),Food and Beverage Services,1
2009,West Melbourne (Industrial),Agriculture and Mining,1
2009,West Melbourne (Residential),"Electricity, Gas, Water",1
2009,West Melbourne (Residential),Rental and Hiring Services,4
2008,Carlton,Food and Beverage Services,16
2008,Carlton,Agriculture and Mining,1
2008,Carlton,Education and Training,4
2008,Carlton,Health Care and Social Assistance,74
2008,Carlton,Wholesale Trade,1
2008,Carlton,Wholesale Trade,1
2008,Docklands,Admin and Support Services,16
2008,Docklands,Construction,3
2008,Docklands,Construction,10
2008,Docklands,Manufacturing,8
2008,Docklands,Business Services,1
2008,Docklands,Real Estate Services,27
2008,East Melbourne,Admin and Support Services,3
2008,East Melbourne,Arts and Recreation Services,9
2008,East Melbourne,Education and Training,1
2008,East Melbourne,"Electricity, Gas, Water",2
2008,East Melbourne,Finance and Insurance,10
2008,East Melbourne,Finance and Insurance,7
2008,East Melbourne,Real Estate Services,1
2008,Kensington,Admin and Support Services,6
2008,Kensington,Construction,1
2008,Kensington,Business Services,14
2008,Kensington,Rental and Hiring Services,3
2008,Melbourne (CBD),"Electricity, Gas, Water",6
2008,Melbourne (CBD),Health Care and Social Assistance,28
2008,Melbourne (CBD),Agriculture and Mining,38
2008,Parkville,Manufacturing,1
2008,Port Melbourne,Business Services,43
2008,Southbank,Agriculture and Mining,1
2008,Southbank,Public Administration and Safety,9
2017,Parkville,Other Services,4
2017,Port Melbourne,Wholesale Trade,18
2017,Southbank,Construction,1
2017,Southbank,Education and Training,9
2017,Southbank,Other Services,2
2017,Southbank,Rental and Hiring Services,4
2017,West Melbourne (Industrial),Food and Beverage Services,6
2017,West Melbourne (Industrial),Wholesale Trade,1
2017,West Melbourne (Residential),Admin and Support Services,14
2017,West Melbourne (Residential),Wholesale Trade,2
2016,Carlton,Food Catering Services,6
2016,Carlton,Public Administration and Safety,1
2016,Docklands,Food and Beverage Services,1
2016,Docklands,Admin and Support Services,9
2016,Docklands,Arts and Recreation Services,15
2016,Docklands,"Transport, Postal and Storage",6
2016,East Melbourne,Food Catering Services,8
2016,East Melbourne,Arts and Recreation Services,7
2016,East Melbourne,Finance and Insurance,9
2016,East Melbourne,Retail Trade,12
2016,Kensington,Wholesale Trade,25
2016,Melbourne (CBD),Health Care and Social Assistance,4
2016,Melbourne (CBD),Manufacturing,1
2016,Melbourne (CBD),Other Services,814
2016,Melbourne (CBD),Retail Trade,14
2016,Melbourne (Remainder),Food and Beverage Services,6
2016,Melbourne (Remainder),Food and Beverage Services,42
2016,Melbourne (Remainder),Finance and Insurance,2
2016,Melbourne (Remainder),Information Media,4
2016,North Melbourne,Agriculture and Mining,1
2016,North Melbourne,Education and Training,1
2016,North Melbourne,Health Care and Social Assistance,94
2016,North Melbourne,Other Services,10
2016,North Melbourne,Other Services,121
2016,North Melbourne,Rental and Hiring Services,1
2016,Parkville,Health Care and Social Assistance,13
2016,Parkville,Real Estate Services,1
2016,Port Melbourne,Information Media,4
2016,Port Melbourne,Retail Trade,20
2016,South Yarra,Education and Training,6
2016,Southbank,Other Services,23
2016,Southbank,Business Services,5
2016,West Melbourne (Industrial),Manufacturing,2
2016,West Melbourne (Industrial),Public Administration and Safety,1
2016,West Melbourne (Residential),Health Care and Social Assistance,1
2016,West Melbourne (Residential),Business Services,80
2016,West Melbourne (Residential),Public Administration and Safety,1
2015,Carlton,Admin and Support Services,7
2015,Carlton,Education and Training,4
2015,Carlton,Real Estate Services,21
2015,Docklands,Arts and Recreation Services,2
2015,Docklands,Construction,12
2015,Docklands,Business Services,6
2015,Docklands,Retail Trade,4
2015,East Melbourne,Food Catering Services,2
2015,East Melbourne,Other Services,34
2015,Kensington,Arts and Recreation Services,1
2015,Kensington,"Transport, Postal and Storage",9
2015,Melbourne (CBD),Admin and Support Services,341
2015,Melbourne (CBD),Finance and Insurance,491
2015,Melbourne (Remainder),Food Catering Services,1
2015,Melbourne (Remainder),Health Care and Social Assistance,2
2015,Melbourne (Remainder),Other Services,16
2015,Melbourne (Remainder),Retail Trade,1
2015,Melbourne (Remainder),Wholesale Trade,4
2015,Parkville,Admin and Support Services,4
2015,Parkville,Arts and Recreation Services,28
2015,Parkville,Health Care and Social Assistance,7
2015,Parkville,Business Services,7
2015,Port Melbourne,Education and Training,2
2015,Port Melbourne,Wholesale Trade,1
2015,South Yarra,Education and Training,4
2015,South Yarra,Health Care and Social Assistance,1
2015,Southbank,Information Media,11
2015,Southbank,Business Services,66
2015,West Melbourne (Industrial),"Electricity, Gas, Water",3
2015,West Melbourne (Industrial),Information Media,4
2015,West Melbourne (Industrial),Other Services,1
2015,West Melbourne (Industrial),Business Services,4
2015,West Melbourne (Industrial),Real Estate Services,1
2015,West Melbourne (Residential),Business Services,15
2015,West Melbourne (Residential),Wholesale Trade,3
2014,Carlton,Arts and Recreation Services,17
2014,Carlton,Other Services,104
2014,Carlton,Business Services,15
2014,Docklands,Food and Beverage Services,1
2014,Docklands,Education and Training,3
2014,Docklands,Manufacturing,2
2014,Docklands,Other Services,3
2014,East Melbourne,Admin and Support Services,3
2014,East Melbourne,Finance and Insurance,2
2014,East Melbourne,Health Care and Social Assistance,205
2014,Kensington,"Electricity, Gas, Water",9
2014,Melbourne (CBD),Food Catering Services,47
2014,Melbourne (CBD),Construction,3
2014,Melbourne (CBD),Real Estate Services,1
2014,Melbourne (CBD),Rental and Hiring Services,1
2014,Melbourne (Remainder),Food and Beverage Services,4
2014,Melbourne (Remainder),Food Catering Services,1
2014,Melbourne (Remainder),Finance and Insurance,3
2014,Melbourne (Remainder),Health Care and Social Assistance,58
2014,Melbourne (Remainder),"Transport, Postal and Storage",5
2014,North Melbourne,Arts and Recreation Services,14
2014,North Melbourne,Finance and Insurance,17
2014,North Melbourne,Business Services,19
2014,North Melbourne,Rental and Hiring Services,1
2014,Parkville,Other Services,6
2014,Parkville,"Transport, Postal and Storage",2
2014,Port Melbourne,Health Care and Social Assistance,4
2014,Port Melbourne,Public Administration and Safety,1
2014,Port Melbourne,Retail Trade,4
2014,South Yarra,Education and Training,1
2014,South Yarra,"Electricity, Gas, Water",5
2014,Southbank,Food and Beverage Services,52
2014,Southbank,Finance and Insurance,16
2014,Southbank,Manufacturing,4
2014,Southbank,Retail Trade,9
2014,West Melbourne (Industrial),Construction,1
2014,West Melbourne (Residential),Health Care and Social Assistance,3
2014,West Melbourne (Residential),Other Services,4
2014,West Melbourne (Residential),Retail Trade,1
2014,West Melbourne (Residential),"Transport, Postal and Storage",3
2013,Carlton,Admin and Support Services,22
2013,Carlton,Arts and Recreation Services,1
2013,Carlton,Other Services,3
2013,Carlton,Rental and Hiring Services,1
2013,Carlton,Retail Trade,4
2013,Carlton,Wholesale Trade,22
2013,Docklands,Admin and Support Services,7
2013,Docklands,Admin and Support Services,22
2013,Docklands,Agriculture and Mining,2
2013,Docklands,Real Estate Services,2
2013,East Melbourne,Manufacturing,1
2013,Kensington,Food Catering Services,1
2013,Kensington,Agriculture and Mining,3
2013,Kensington,"Electricity, Gas, Water",9
2013,Kensington,Wholesale Trade,2
2013,Melbourne (CBD),Admin and Support Services,405
2013,Melbourne (CBD),Other Services,2
2013,Melbourne (CBD),Real Estate Services,29
2013,Melbourne (CBD),"Transport, Postal and Storage",59
2013,Melbourne (CBD),Wholesale Trade,1
2013,North Melbourne,Other Services,5
2013,North Melbourne,Real Estate Services,2
2013,Parkville,Food Catering Services,5
2013,Parkville,Arts and Recreation Services,6
2013,Parkville,Education and Training,1
2013,Parkville,Other Services,5
2013,Port Melbourne,Admin and Support Services,12
2013,Port Melbourne,Education and Training,5
2013,Port Melbourne,Other Services,4
2013,Port Melbourne,Wholesale Trade,1
2013,South Yarra,Arts and Recreation Services,4
2013,Southbank,Public Administration and Safety,3
2013,Southbank,Retail Trade,232
2013,West Melbourne (Industrial),Construction,1
2013,West Melbourne (Residential),Food Catering Services,1
2013,West Melbourne (Residential),Food and Beverage Services,54
2013,West Melbourne (Residential),"Transport, Postal and Storage",1
2013,West Melbourne (Residential),"Transport, Postal and Storage",1
2012,Carlton,Business Services,1
2012,Docklands,Information Media,5
2012,Docklands,Public Administration and Safety,5
2012,East Melbourne,Food Catering Services,6
2012,East Melbourne,Finance and Insurance,2
2012,East Melbourne,Manufacturing,3
2012,Kensington,Education and Training,7
2012,Melbourne (CBD),Health Care and Social Assistance,2
2012,Melbourne (CBD),Information Media,114
2012,Melbourne (CBD),Business Services,9
2012,Melbourne (CBD),Rental and Hiring Services,1
2012,Melbourne (CBD),"Transport, Postal and Storage",6
2012,Melbourne (Remainder),Admin and Support Services,4
2012,Melbourne (Remainder),Information Media,3
2012,Melbourne (Remainder),Manufacturing,1
2012,Melbourne (Remainder),Public Administration and Safety,3
2012,North Melbourne,Arts and Recreation Services,13
2012,North Melbourne,"Electricity, Gas, Water",1
2012,North Melbourne,Information Media,2
2012,Port Melbourne,Finance and Insurance,1
2012,Port Melbourne,Manufacturing,48
2012,Port Melbourne,Business Services,59
2012,Port Melbourne,Retail Trade,1
2012,Port Melbourne,Wholesale Trade,16
2012,Southbank,Health Care and Social Assistance,19
2012,Southbank,Manufacturing,7
2012,Southbank,Rental and Hiring Services,1
2012,Southbank,Real Estate Services,20
2011,Carlton,"Electricity, Gas, Water",14
2011,Carlton,Finance and Insurance,35
2011,Carlton,Business Services,3
2011,Carlton,Real Estate Services,1
2011,Carlton,"Transport, Postal and Storage",4
2011,Docklands,Arts and Recreation Services,2
2011,Docklands,Information Media,1
2011,East Melbourne,Food and Beverage Services,1
2011,East Melbourne,Public Administration and Safety,3
2011,Kensington,Public Administration and Safety,3
2011,Melbourne (CBD),Agriculture and Mining,7
2011,Melbourne (Remainder),Food Catering Services,1
2004,Melbourne (CBD),Admin and Support Services,420
2004,Melbourne (CBD),"Electricity, Gas, Water",14
2004,Melbourne (CBD),Business Services,4
2004,North Melbourne,Food Catering Services,2
2004,North Melbourne,Food Catering Services,3
2004,North Melbourne,Finance and Insurance,3
2004,North Melbourne,Business Services,15
2004,North Melbourne,Business Services,127
2004,North Melbourne,Rental and Hiring Services,9
2004,North Melbourne,Retail Trade,3
2004,Parkville,Other Services,3
2004,Parkville,Business Services,3
2004,Port Melbourne,Food and Beverage Services,4
2004,Port Melbourne,Admin and Support Services,1
2004,Port Melbourne,Information Media,8
2004,Port Melbourne,Other Services,2
2004,South Yarra,Education and Training,3
2004,Southbank,Finance and Insurance,7
2004,Southbank,Information Media,4
2004,Southbank,Information Media,12
2004,Southbank,Manufacturing,3
2004,Southbank,Public Administration and Safety,1
2004,Southbank,Rental and Hiring Services,6
2004,West Melbourne (Industrial),Admin and Support Services,4
2004,West Melbourne (Industrial),Rental and Hiring Services,1
2004,West Melbourne (Industrial),"Transport, Postal and Storage",25
2004,West Melbourne (Residential),Public Administration and Safety,4
2004,West Melbourne (Residential),Rental and Hiring Services,2
2003,Carlton,Admin and Support Services,33
2003,Carlton,Education and Training,4
2003,Carlton,Education and Training,43
2003,Carlton,Health Care and Social Assistance,78
2003,Carlton,Wholesale Trade,23
2003,Docklands,Food and Beverage Services,7
2003,Docklands,Admin and Support Services,3
2003,Docklands,Arts and Recreation Services,3
2003,Docklands,Finance and Insurance,1
2003,Docklands,Health Care and Social Assistance,6
2003,Docklands,Manufacturing,2
2003,Docklands,Other Services,3
2003,Docklands,Wholesale Trade,3
2003,East Melbourne,Business Services,57
2003,Kensington,Arts and Recreation Services,13
2003,Kensington,"Electricity, Gas, Water",4
2003,Kensington,Manufacturing,1
2003,Kensington,Public Administration and Safety,1
2003,Melbourne (CBD),"Electricity, Gas, Water",4
2003,Melbourne (CBD),Manufacturing,275
2003,Melbourne (CBD),Business Services,1072
2003,Melbourne (CBD),Real Estate Services,105
2003,Melbourne (CBD),Wholesale Trade,1
2003,Melbourne (Remainder),Education and Training,2
2003,Melbourne (Remainder),Education and Training,1
2003,Melbourne (Remainder),Education and Training,5
2003,Melbourne (Remainder),"Electricity, Gas, Water",3
2003,Melbourne (Remainder),Manufacturing,1
2003,North Melbourne,Agriculture and Mining,1
2003,North Melbourne,"Electricity, Gas, Water",1
2003,North Melbourne,"Electricity, Gas, Water",20
2003,North Melbourne,Wholesale Trade,57
2003,Parkville,Food Catering Services,7
2003,Parkville,Food Catering Services,9
2003,Parkville,Arts and Recreation Services,1
2003,Parkville,Education and Training,1
2003,Parkville,Education and Training,6
2003,Parkville,Manufacturing,1
2003,Parkville,Business Services,1
2003,Parkville,Retail Trade,1
2003,Port Melbourne,Public Administration and Safety,2
2003,Port Melbourne,Wholesale Trade,21
2003,South Yarra,Education and Training,6
2003,Southbank,Food and Beverage Services,48
2003,Southbank,Arts and Recreation Services,20
2003,Southbank,Finance and Insurance,15
2003,Southbank,Other Services,8
2003,Southbank,"Transport, Postal and Storage",11
2003,West Melbourne (Residential),Construction,3
2003,West Melbourne (Residential),"Electricity, Gas, Water",1
2003,West Melbourne (Residential),Other Services,61
2003,West Melbourne (Residential),Business Services,7
2003,West Melbourne (Residential),Public Administration and Safety,2
2003,West Melbourne (Residential),Real Estate Services,4
2002,Docklands,Information Media,1
2002,Docklands,Information Media,2
2002,Kensington,Admin and Support Services,1
